params,MostNaive,DeepDataDepthAnomalyDetector
"('CIFAR10_0', 0.0, 1)",0.917277108433735,0.9294939759036145
"('CIFAR10_0', 0.01, 1)",,
"('CIFAR10_0', 0.05, 1)",,
"('CIFAR10_0', 0.1, 1)",,
"('CIFAR10_0', 0.25, 1)",,
"('CIFAR10_0', 0.5, 1)",,
"('CIFAR10_0', 0.75, 1)",,
"('CIFAR10_0', 1.0, 1)",,
"('CIFAR10_1', 0.0, 1)",0.9851726907630523,0.9853815261044176
"('CIFAR10_1', 0.01, 1)",,
"('CIFAR10_1', 0.05, 1)",,
"('CIFAR10_1', 0.1, 1)",,
"('CIFAR10_1', 0.25, 1)",,
"('CIFAR10_1', 0.5, 1)",,
"('CIFAR10_1', 0.75, 1)",,
"('CIFAR10_1', 1.0, 1)",,
"('CIFAR10_2', 0.0, 1)",0.7333654618473896,0.7712730923694779
"('CIFAR10_2', 0.01, 1)",,
"('CIFAR10_2', 0.05, 1)",,
"('CIFAR10_2', 0.1, 1)",,
"('CIFAR10_2', 0.25, 1)",,
"('CIFAR10_2', 0.5, 1)",,
"('CIFAR10_2', 0.75, 1)",,
"('CIFAR10_2', 1.0, 1)",,
"('CIFAR10_3', 0.0, 1)",0.8898313253012048,0.8957188755020081
"('CIFAR10_3', 0.01, 1)",,
"('CIFAR10_3', 0.05, 1)",,
"('CIFAR10_3', 0.1, 1)",,
"('CIFAR10_3', 0.25, 1)",,
"('CIFAR10_3', 0.5, 1)",,
"('CIFAR10_3', 0.75, 1)",,
"('CIFAR10_3', 1.0, 1)",,
"('CIFAR10_4', 0.0, 1)",0.9143373493975903,0.9259919678714859
"('CIFAR10_4', 0.01, 1)",,
"('CIFAR10_4', 0.05, 1)",,
"('CIFAR10_4', 0.1, 1)",,
"('CIFAR10_4', 0.25, 1)",,
"('CIFAR10_4', 0.5, 1)",,
"('CIFAR10_4', 0.75, 1)",,
"('CIFAR10_4', 1.0, 1)",,
"('CIFAR10_5', 0.0, 1)",0.7684658634538153,0.7925542168674699
"('CIFAR10_5', 0.01, 1)",,
"('CIFAR10_5', 0.05, 1)",,
"('CIFAR10_5', 0.1, 1)",,
"('CIFAR10_5', 0.25, 1)",,
"('CIFAR10_5', 0.5, 1)",,
"('CIFAR10_5', 0.75, 1)",,
"('CIFAR10_5', 1.0, 1)",,
"('CIFAR10_6', 0.0, 1)",0.9488273092369478,0.9454859437751004
"('CIFAR10_6', 0.01, 1)",,
"('CIFAR10_6', 0.05, 1)",,
"('CIFAR10_6', 0.1, 1)",,
"('CIFAR10_6', 0.25, 1)",,
"('CIFAR10_6', 0.5, 1)",,
"('CIFAR10_6', 0.75, 1)",,
"('CIFAR10_6', 1.0, 1)",,
"('CIFAR10_7', 0.0, 1)",0.9739196787148594,0.9733975903614459
"('CIFAR10_7', 0.01, 1)",,
"('CIFAR10_7', 0.05, 1)",,
"('CIFAR10_7', 0.1, 1)",,
"('CIFAR10_7', 0.25, 1)",,
"('CIFAR10_7', 0.5, 1)",,
"('CIFAR10_7', 0.75, 1)",,
"('CIFAR10_7', 1.0, 1)",,
"('CIFAR10_8', 0.0, 1)",0.9327389558232932,0.9383855421686748
"('CIFAR10_8', 0.01, 1)",,
"('CIFAR10_8', 0.05, 1)",,
"('CIFAR10_8', 0.1, 1)",,
"('CIFAR10_8', 0.25, 1)",,
"('CIFAR10_8', 0.5, 1)",,
"('CIFAR10_8', 0.75, 1)",,
"('CIFAR10_8', 1.0, 1)",,
"('CIFAR10_9', 0.0, 1)",0.9500240963855422,0.9567309236947791
"('CIFAR10_9', 0.01, 1)",,
"('CIFAR10_9', 0.05, 1)",,
"('CIFAR10_9', 0.1, 1)",,
"('CIFAR10_9', 0.25, 1)",,
"('CIFAR10_9', 0.5, 1)",,
"('CIFAR10_9', 0.75, 1)",,
"('CIFAR10_9', 1.0, 1)",,
