params,DeepDataDepthAnomalyDetector
"('MVTec-AD_hazelnut', 0.0, 1)",0.7175816931914493
"('MVTec-AD_hazelnut', 0.01, 1)",
"('MVTec-AD_hazelnut', 0.05, 1)",
"('MVTec-AD_hazelnut', 0.1, 1)",
"('MVTec-AD_hazelnut', 0.25, 1)",
"('MVTec-AD_hazelnut', 0.5, 1)",
"('MVTec-AD_hazelnut', 0.75, 1)",
"('MVTec-AD_hazelnut', 1.0, 1)",
"('45_wine', 0.0, 1)",0.5540731439334484
"('45_wine', 0.01, 1)",
"('45_wine', 0.05, 1)",
"('45_wine', 0.1, 1)",
"('45_wine', 0.25, 1)",
"('45_wine', 0.5, 1)",
"('45_wine', 0.75, 1)",
"('45_wine', 1.0, 1)",
"('39_vertebral', 0.0, 1)",0.4267803925598602
"('39_vertebral', 0.01, 1)",
"('39_vertebral', 0.05, 1)",
"('39_vertebral', 0.1, 1)",
"('39_vertebral', 0.25, 1)",
"('39_vertebral', 0.5, 1)",
"('39_vertebral', 0.75, 1)",
"('39_vertebral', 1.0, 1)",
"('46_WPBC', 0.0, 1)",0.4304337231968811
"('46_WPBC', 0.01, 1)",
"('46_WPBC', 0.05, 1)",
"('46_WPBC', 0.1, 1)",
"('46_WPBC', 0.25, 1)",
"('46_WPBC', 0.5, 1)",
"('46_WPBC', 0.75, 1)",
"('46_WPBC', 1.0, 1)",
"('37_Stamps', 0.0, 1)",0.9001492334825668
"('37_Stamps', 0.01, 1)",
"('37_Stamps', 0.05, 1)",
"('37_Stamps', 0.1, 1)",
"('37_Stamps', 0.25, 1)",
"('37_Stamps', 0.5, 1)",
"('37_Stamps', 0.75, 1)",
"('37_Stamps', 1.0, 1)",
"('4_breastw', 0.0, 1)",0.9555043171114599
"('4_breastw', 0.01, 1)",
"('4_breastw', 0.05, 1)",
"('4_breastw', 0.1, 1)",
"('4_breastw', 0.25, 1)",
"('4_breastw', 0.5, 1)",
"('4_breastw', 0.75, 1)",
"('4_breastw', 1.0, 1)",
"('20news_3', 0.0, 1)",0.7196180555555556
"('20news_3', 0.01, 1)",
"('20news_3', 0.05, 1)",
"('20news_3', 0.1, 1)",
"('20news_3', 0.25, 1)",
"('20news_3', 0.5, 1)",
"('20news_3', 0.75, 1)",
"('20news_3', 1.0, 1)",
"('MVTec-AD_grid', 0.0, 1)",0.5782896717856069
"('MVTec-AD_grid', 0.01, 1)",
"('MVTec-AD_grid', 0.05, 1)",
"('MVTec-AD_grid', 0.1, 1)",
"('MVTec-AD_grid', 0.25, 1)",
"('MVTec-AD_grid', 0.5, 1)",
"('MVTec-AD_grid', 0.75, 1)",
"('MVTec-AD_grid', 1.0, 1)",
"('MVTec-AD_zipper', 0.0, 1)",0.8505179031494821
"('MVTec-AD_zipper', 0.01, 1)",
"('MVTec-AD_zipper', 0.05, 1)",
"('MVTec-AD_zipper', 0.1, 1)",
"('MVTec-AD_zipper', 0.25, 1)",
"('MVTec-AD_zipper', 0.5, 1)",
"('MVTec-AD_zipper', 0.75, 1)",
"('MVTec-AD_zipper', 1.0, 1)",
"('MVTec-AD_wood', 0.0, 1)",0.7888682745825603
"('MVTec-AD_wood', 0.01, 1)",
"('MVTec-AD_wood', 0.05, 1)",
"('MVTec-AD_wood', 0.1, 1)",
"('MVTec-AD_wood', 0.25, 1)",
"('MVTec-AD_wood', 0.5, 1)",
"('MVTec-AD_wood', 0.75, 1)",
"('MVTec-AD_wood', 1.0, 1)",
"('29_Pima', 0.0, 1)",0.7295215311004785
"('29_Pima', 0.01, 1)",
"('29_Pima', 0.05, 1)",
"('29_Pima', 0.1, 1)",
"('29_Pima', 0.25, 1)",
"('29_Pima', 0.5, 1)",
"('29_Pima', 0.75, 1)",
"('29_Pima', 1.0, 1)",
"('MVTec-AD_transistor', 0.0, 1)",0.7394070080862534
"('MVTec-AD_transistor', 0.01, 1)",
"('MVTec-AD_transistor', 0.05, 1)",
