params,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,PCA,SOD,DeepSVDD,DAGMM,MostNaive,DeepDataDepthAnomalyDetector
"('MVTec-AD_pill', 0.0, 1)",0.7647180334641602,0.7626523445569099,0.776182606899401,0.6826585416236315,0.7454554844040487,0.7678682090477174,0.7584176822970461,0.7791262135922331,0.7632720512290849,0.8399607519107624,0.7651311712456104,0.7424602354885355,0.5851580252014047,0.5579942160710596,0.7589341045238587,0.7912104936996489
"('MVTec-AD_pill', 0.01, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_pill', 0.05, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_pill', 0.1, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_pill', 0.25, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_pill', 0.5, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_pill', 0.75, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_pill', 1.0, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_capsule', 0.0, 1)",0.7390781772575249,0.6886496655518395,0.8186141304347826,0.7287311872909699,0.7155622909698998,0.7108068561872909,0.7428929765886287,0.8360420150501672,0.6975857023411371,0.8612562709030099,0.716607441471572,0.7732023411371237,0.5766095317725752,0.5225752508361204,0.689799331103679,0.8118729096989966
"('MVTec-AD_capsule', 0.01, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_capsule', 0.05, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_capsule', 0.1, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_capsule', 0.25, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_capsule', 0.5, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_capsule', 0.75, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_capsule', 1.0, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_carpet', 0.0, 1)",0.8968515037593985,0.84281015037594,0.9008458646616542,0.7901198308270678,0.9352091165413534,0.879875469924812,0.9202302631578948,0.9402901785714286,0.8878054511278196,0.8596687030075189,0.900375939849624,0.879170582706767,0.3949718045112782,0.7714403195488723,0.8988486842105263,0.9150023496240601
"('MVTec-AD_carpet', 0.01, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_carpet', 0.05, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_carpet', 0.1, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_carpet', 0.25, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_carpet', 0.5, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_carpet', 0.75, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_carpet', 1.0, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_grid', 0.0, 1)",0.6302318578741343,0.6525895814513701,0.7106293285155074,0.7073170731707317,0.6098313760915387,0.6475459199036435,0.6362541403191809,0.7618187292984041,0.662375790424571,0.7828214393255044,0.6341463414634146,0.7085215296597411,0.46635049683830176,0.6802920806985848,0.637232761216501,0.7605389942788318
"('MVTec-AD_grid', 0.01, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_grid', 0.05, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_grid', 0.1, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_grid', 0.25, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_grid', 0.5, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_grid', 0.75, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_grid', 1.0, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_hazelnut', 0.0, 1)",0.7318014878990489,0.7669272059515962,0.8107166399849326,0.6611733684904416,0.7526132404181185,0.7553441943685846,0.7591110274037103,0.8329409548921743,0.7089179772106601,0.878142951313683,0.7668330351257181,0.7611827855730294,0.5958188153310104,0.5882851492607589,0.7619361521800547,0.8130709106318862
"('MVTec-AD_hazelnut', 0.01, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_hazelnut', 0.05, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_hazelnut', 0.1, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_hazelnut', 0.25, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_hazelnut', 0.5, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_hazelnut', 0.75, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_hazelnut', 1.0, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_leather', 0.0, 1)",0.9892584892584892,0.9506237006237006,0.9853314853314853,0.8578771078771079,0.9945714945714945,0.9807114807114806,0.9928967428967428,0.962058212058212,0.9811734811734811,0.7579117579117579,0.987987987987988,0.9775929775929776,0.6762531762531763,0.7735620235620235,0.9878724878724878,0.9874104874104874
"('MVTec-AD_leather', 0.01, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_leather', 0.05, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_leather', 0.1, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_leather', 0.25, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_leather', 0.5, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_leather', 0.75, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_leather', 1.0, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_metal_nut', 0.0, 1)",0.8183310533515732,0.8225991792065663,0.8966894664842681,0.6199179206566348,0.7651436388508892,0.8088098495212037,0.7906429548563612,0.7774555403556771,0.8146648426812586,0.8488645690834472,0.8073324213406292,0.6855813953488372,0.6225444596443228,0.6334883720930232,0.8008207934336524,0.8573461012311901
"('MVTec-AD_metal_nut', 0.01, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_metal_nut', 0.05, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_metal_nut', 0.1, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_metal_nut', 0.25, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_metal_nut', 0.5, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_metal_nut', 0.75, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_metal_nut', 1.0, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_cable', 0.0, 1)",0.8061037037037038,0.7658666666666667,0.8808296296296296,0.7092740740740742,0.7945481481481481,0.7741629629629628,0.7878518518518519,0.8961185185185185,0.7710222222222223,0.9130074074074074,0.7835851851851852,0.7064296296296296,0.49641481481481475,0.5598814814814814,0.7744592592592594,0.8353777777777778
"('MVTec-AD_cable', 0.01, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_cable', 0.05, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_cable', 0.1, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_cable', 0.25, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_cable', 0.5, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_cable', 0.75, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_cable', 1.0, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_bottle', 0.0, 1)",0.9971849427168578,0.993911620294599,0.9913584288052373,0.7954173486088381,0.9990180032733225,0.9960720130932897,0.9990834697217676,0.9120785597381341,0.9888707037643207,0.8827495908346973,0.9975777414075286,0.9796399345335516,0.7081505728314239,0.8444517184942717,0.9975122749590836,0.9945008183306056
"('MVTec-AD_bottle', 0.01, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_bottle', 0.05, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_bottle', 0.1, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_bottle', 0.25, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_bottle', 0.5, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_bottle', 0.75, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_bottle', 1.0, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_tile', 0.0, 1)",0.9644396551724138,0.9420005070993915,0.9679259634888437,0.84026369168357,0.9766734279918865,0.9533468559837729,0.9751521298174443,0.9630451318458416,0.9461206896551724,0.9066303245436105,0.9629183569979716,0.9494802231237321,0.7335826572008114,0.7372591277890467,0.9594320486815415,0.9678625760649087
"('MVTec-AD_tile', 0.01, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_tile', 0.05, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_tile', 0.1, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_tile', 0.25, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_tile', 0.5, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_tile', 0.75, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_tile', 1.0, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_toothbrush', 0.0, 1)",0.783245955239867,0.7288460454366086,0.8439032639945883,0.8002705902249282,0.7579908675799086,0.7475054963639438,0.7844297874739274,0.5875753988387169,0.7432211511359152,0.8472856418061897,0.7496476689779581,0.8331924009245165,0.5861660747505496,0.6670049044478268,0.7326794069564238,0.8322904335080895
"('MVTec-AD_toothbrush', 0.01, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_toothbrush', 0.05, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_toothbrush', 0.1, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_toothbrush', 0.25, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_toothbrush', 0.5, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_toothbrush', 0.75, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_toothbrush', 1.0, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_transistor', 0.0, 1)",0.7487870619946091,0.7010242587601078,0.8175741239892182,0.6513207547169811,0.7482479784366576,0.7142857142857143,0.7370350404312669,0.8147169811320755,0.7602156334231807,0.8039892183288408,0.731644204851752,0.7617250673854448,0.5500808625336927,0.6928301886792454,0.7164420485175202,0.8143396226415095
"('MVTec-AD_transistor', 0.01, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_transistor', 0.05, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_transistor', 0.1, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_transistor', 0.25, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_transistor', 0.5, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_transistor', 0.75, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_transistor', 1.0, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_wood', 0.0, 1)",0.7871614100185529,0.7505009276437847,0.8110575139146569,0.7603710575139146,0.7669016697588126,0.7540630797773655,0.7709833024118737,0.7848237476808906,0.7721706864564009,0.8984786641929499,0.7747680890538033,0.8257513914656772,0.6923933209647496,0.5235621521335807,0.7623747680890538,0.846530612244898
"('MVTec-AD_wood', 0.01, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_wood', 0.05, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_wood', 0.1, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_wood', 0.25, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_wood', 0.5, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_wood', 0.75, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_wood', 1.0, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_zipper', 0.0, 1)",0.7931016352068985,0.7692833482307165,0.8015668541984331,0.6991955413008044,0.8340606761659394,0.7938377412061622,0.8154477101845522,0.818129239181871,0.7950996372049004,0.8035648561964351,0.807666018192334,0.7133392922866607,0.6701719333298282,0.6063410273936589,0.8088753351911246,0.7989904832010096
"('MVTec-AD_zipper', 0.01, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_zipper', 0.05, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_zipper', 0.1, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_zipper', 0.25, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_zipper', 0.5, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_zipper', 0.75, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_zipper', 1.0, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_screw', 0.0, 1)",0.6447368421052632,0.61817738791423,0.6307870370370371,0.6582602339181287,0.5902777777777778,0.6232943469785575,0.6243908382066277,0.7693408869395711,0.5539108187134503,0.696942007797271,0.6175073099415205,0.6599049707602339,0.5455653021442495,0.6407772904483431,0.6058114035087719,0.6969115497076023
"('MVTec-AD_screw', 0.01, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_screw', 0.05, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_screw', 0.1, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_screw', 0.25, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_screw', 0.5, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_screw', 0.75, 1)",,,,,,,,,,,,,,,,
"('MVTec-AD_screw', 1.0, 1)",,,,,,,,,,,,,,,,
"('SVHN_9', 0.0, 1)",0.5186849940068824,0.5192456404902757,0.4986853806596296,0.5195356300506515,0.5143254842825659,0.5131751923597417,0.510004639832966,0.5168773924138731,0.5137841704365309,0.5319471832347369,0.5136101767003055,0.5355527201020763,0.4959014808800216,0.48837141862892935,0.5147411359857712,0.5158334299965202
"('SVHN_9', 0.01, 1)",,,,,,,,,,,,,,,,
