params,MostNaive,DeepDataDepthAnomalyDetector
"('MVTec-AD_pill', 0.0, 1)",0.7589341045238587,0.6856537905391448
"('MVTec-AD_pill', 0.01, 1)",,
"('MVTec-AD_pill', 0.05, 1)",,
"('MVTec-AD_pill', 0.1, 1)",,
"('MVTec-AD_pill', 0.25, 1)",,
"('MVTec-AD_pill', 0.5, 1)",,
"('MVTec-AD_pill', 0.75, 1)",,
"('MVTec-AD_pill', 1.0, 1)",,
"('MVTec-AD_capsule', 0.0, 1)",0.689799331103679,0.7600857023411371
"('MVTec-AD_capsule', 0.01, 1)",,
"('MVTec-AD_capsule', 0.05, 1)",,
"('MVTec-AD_capsule', 0.1, 1)",,
"('MVTec-AD_capsule', 0.25, 1)",,
"('MVTec-AD_capsule', 0.5, 1)",,
"('MVTec-AD_capsule', 0.75, 1)",,
"('MVTec-AD_capsule', 1.0, 1)",,
"('MVTec-AD_carpet', 0.0, 1)",0.8988486842105263,0.9164121240601503
"('MVTec-AD_carpet', 0.01, 1)",,
"('MVTec-AD_carpet', 0.05, 1)",,
"('MVTec-AD_carpet', 0.1, 1)",,
"('MVTec-AD_carpet', 0.25, 1)",,
"('MVTec-AD_carpet', 0.5, 1)",,
"('MVTec-AD_carpet', 0.75, 1)",,
"('MVTec-AD_carpet', 1.0, 1)",,
"('MVTec-AD_grid', 0.0, 1)",0.637232761216501,0.611939174947305
"('MVTec-AD_grid', 0.01, 1)",,
"('MVTec-AD_grid', 0.05, 1)",,
"('MVTec-AD_grid', 0.1, 1)",,
"('MVTec-AD_grid', 0.25, 1)",,
"('MVTec-AD_grid', 0.5, 1)",,
"('MVTec-AD_grid', 0.75, 1)",,
"('MVTec-AD_grid', 1.0, 1)",,
"('MVTec-AD_hazelnut', 0.0, 1)",0.7619361521800547,0.7690931349467935
"('MVTec-AD_hazelnut', 0.01, 1)",,
"('MVTec-AD_hazelnut', 0.05, 1)",,
"('MVTec-AD_hazelnut', 0.1, 1)",,
"('MVTec-AD_hazelnut', 0.25, 1)",,
"('MVTec-AD_hazelnut', 0.5, 1)",,
"('MVTec-AD_hazelnut', 0.75, 1)",,
"('MVTec-AD_hazelnut', 1.0, 1)",,
"('MVTec-AD_leather', 0.0, 1)",0.9878724878724878,0.9761492261492262
"('MVTec-AD_leather', 0.01, 1)",,
"('MVTec-AD_leather', 0.05, 1)",,
"('MVTec-AD_leather', 0.1, 1)",,
"('MVTec-AD_leather', 0.25, 1)",,
"('MVTec-AD_leather', 0.5, 1)",,
"('MVTec-AD_leather', 0.75, 1)",,
"('MVTec-AD_leather', 1.0, 1)",,
"('MVTec-AD_metal_nut', 0.0, 1)",0.8008207934336524,0.7646511627906977
"('MVTec-AD_metal_nut', 0.01, 1)",,
"('MVTec-AD_metal_nut', 0.05, 1)",,
"('MVTec-AD_metal_nut', 0.1, 1)",,
"('MVTec-AD_metal_nut', 0.25, 1)",,
"('MVTec-AD_metal_nut', 0.5, 1)",,
"('MVTec-AD_metal_nut', 0.75, 1)",,
"('MVTec-AD_metal_nut', 1.0, 1)",,
"('MVTec-AD_cable', 0.0, 1)",0.7744592592592594,0.7472
"('MVTec-AD_cable', 0.01, 1)",,
"('MVTec-AD_cable', 0.05, 1)",,
"('MVTec-AD_cable', 0.1, 1)",,
"('MVTec-AD_cable', 0.25, 1)",,
"('MVTec-AD_cable', 0.5, 1)",,
"('MVTec-AD_cable', 0.75, 1)",,
"('MVTec-AD_cable', 1.0, 1)",,
"('MVTec-AD_bottle', 0.0, 1)",0.9975122749590836,0.9745335515548282
"('MVTec-AD_bottle', 0.01, 1)",,
"('MVTec-AD_bottle', 0.05, 1)",,
"('MVTec-AD_bottle', 0.1, 1)",,
"('MVTec-AD_bottle', 0.25, 1)",,
"('MVTec-AD_bottle', 0.5, 1)",,
"('MVTec-AD_bottle', 0.75, 1)",,
"('MVTec-AD_bottle', 1.0, 1)",,
"('MVTec-AD_tile', 0.0, 1)",0.9594320486815415,0.9452332657200812
"('MVTec-AD_tile', 0.01, 1)",,
"('MVTec-AD_tile', 0.05, 1)",,
"('MVTec-AD_tile', 0.1, 1)",,
"('MVTec-AD_tile', 0.25, 1)",,
"('MVTec-AD_tile', 0.5, 1)",,
"('MVTec-AD_tile', 0.75, 1)",,
"('MVTec-AD_tile', 1.0, 1)",,
"('MVTec-AD_toothbrush', 0.0, 1)",0.7326794069564238,0.7708439032639947
"('MVTec-AD_toothbrush', 0.01, 1)",,
"('MVTec-AD_toothbrush', 0.05, 1)",,
"('MVTec-AD_toothbrush', 0.1, 1)",,
"('MVTec-AD_toothbrush', 0.25, 1)",,
"('MVTec-AD_toothbrush', 0.5, 1)",,
"('MVTec-AD_toothbrush', 0.75, 1)",,
"('MVTec-AD_toothbrush', 1.0, 1)",,
"('MVTec-AD_transistor', 0.0, 1)",0.7164420485175202,0.7184905660377359
"('MVTec-AD_transistor', 0.01, 1)",,
"('MVTec-AD_transistor', 0.05, 1)",,
"('MVTec-AD_transistor', 0.1, 1)",,
"('MVTec-AD_transistor', 0.25, 1)",,
"('MVTec-AD_transistor', 0.5, 1)",,
"('MVTec-AD_transistor', 0.75, 1)",,
"('MVTec-AD_transistor', 1.0, 1)",,
"('MVTec-AD_wood', 0.0, 1)",0.7623747680890538,0.7526530612244898
"('MVTec-AD_wood', 0.01, 1)",,
"('MVTec-AD_wood', 0.05, 1)",,
"('MVTec-AD_wood', 0.1, 1)",,
"('MVTec-AD_wood', 0.25, 1)",,
"('MVTec-AD_wood', 0.5, 1)",,
"('MVTec-AD_wood', 0.75, 1)",,
"('MVTec-AD_wood', 1.0, 1)",,
"('MVTec-AD_zipper', 0.0, 1)",0.8088753351911246,0.778694989221305
"('MVTec-AD_zipper', 0.01, 1)",,
"('MVTec-AD_zipper', 0.05, 1)",,
"('MVTec-AD_zipper', 0.1, 1)",,
"('MVTec-AD_zipper', 0.25, 1)",,
"('MVTec-AD_zipper', 0.5, 1)",,
"('MVTec-AD_zipper', 0.75, 1)",,
"('MVTec-AD_zipper', 1.0, 1)",,
"('MVTec-AD_screw', 0.0, 1)",0.6058114035087719,0.5921052631578947
"('MVTec-AD_screw', 0.01, 1)",,
"('MVTec-AD_screw', 0.05, 1)",,
"('MVTec-AD_screw', 0.1, 1)",,
"('MVTec-AD_screw', 0.25, 1)",,
"('MVTec-AD_screw', 0.5, 1)",,
"('MVTec-AD_screw', 0.75, 1)",,
"('MVTec-AD_screw', 1.0, 1)",,
"('SVHN_9', 0.0, 1)",0.5147411359857712,0.5012566214282952
"('SVHN_9', 0.01, 1)",,
"('SVHN_9', 0.05, 1)",,
"('SVHN_9', 0.1, 1)",,
"('SVHN_9', 0.25, 1)",,
"('SVHN_9', 0.5, 1)",,
"('SVHN_9', 0.75, 1)",,
"('SVHN_9', 1.0, 1)",,
"('SVHN_0', 0.0, 1)",0.47411724078390743,0.49328757662090994
"('SVHN_0', 0.01, 1)",,
"('SVHN_0', 0.05, 1)",,
"('SVHN_0', 0.1, 1)",,
"('SVHN_0', 0.25, 1)",,
"('SVHN_0', 0.5, 1)",,
"('SVHN_0', 0.75, 1)",,
"('SVHN_0', 1.0, 1)",,
"('CIFAR10_0', 0.0, 1)",0.8378987341772152,0.7291139240506329
"('CIFAR10_0', 0.01, 1)",,
"('CIFAR10_0', 0.05, 1)",,
"('CIFAR10_0', 0.1, 1)",,
"('CIFAR10_0', 0.25, 1)",,
"('CIFAR10_0', 0.5, 1)",,
"('CIFAR10_0', 0.75, 1)",,
"('CIFAR10_0', 1.0, 1)",,
"('CIFAR10_7', 0.0, 1)",0.9140759493670887,0.8856877637130802
"('CIFAR10_7', 0.01, 1)",,
"('CIFAR10_7', 0.05, 1)",,
"('CIFAR10_7', 0.1, 1)",,
"('CIFAR10_7', 0.25, 1)",,
"('CIFAR10_7', 0.5, 1)",,
"('CIFAR10_7', 0.75, 1)",,
"('CIFAR10_7', 1.0, 1)",,
"('CIFAR10_1', 0.0, 1)",0.910759493670886,0.870084388185654
"('CIFAR10_1', 0.01, 1)",,
"('CIFAR10_1', 0.05, 1)",,
"('CIFAR10_1', 0.1, 1)",,
"('CIFAR10_1', 0.25, 1)",,
"('CIFAR10_1', 0.5, 1)",,
"('CIFAR10_1', 0.75, 1)",,
"('CIFAR10_1', 1.0, 1)",,
"('CIFAR10_2', 0.0, 1)",0.8501265822784811,0.7438143459915613
"('CIFAR10_2', 0.01, 1)",,
"('CIFAR10_2', 0.05, 1)",,
"('CIFAR10_2', 0.1, 1)",,
"('CIFAR10_2', 0.25, 1)",,
"('CIFAR10_2', 0.5, 1)",,
"('CIFAR10_2', 0.75, 1)",,
"('CIFAR10_2', 1.0, 1)",,
"('CIFAR10_3', 0.0, 1)",0.8592995780590716,0.791789029535865
"('CIFAR10_3', 0.01, 1)",,
"('CIFAR10_3', 0.05, 1)",,
"('CIFAR10_3', 0.1, 1)",,
"('CIFAR10_3', 0.25, 1)",,
"('CIFAR10_3', 0.5, 1)",,
"('CIFAR10_3', 0.75, 1)",,
"('CIFAR10_3', 1.0, 1)",,
"('CIFAR10_4', 0.0, 1)",0.8804472573839662,0.8000337552742616
"('CIFAR10_4', 0.01, 1)",,
"('CIFAR10_4', 0.05, 1)",,
"('CIFAR10_4', 0.1, 1)",,
"('CIFAR10_4', 0.25, 1)",,
"('CIFAR10_4', 0.5, 1)",,
"('CIFAR10_4', 0.75, 1)",,
"('CIFAR10_4', 1.0, 1)",,
"('CIFAR10_5', 0.0, 1)",0.9019746835443038,0.7599831223628691
"('CIFAR10_5', 0.01, 1)",,
"('CIFAR10_5', 0.05, 1)",,
"('CIFAR10_5', 0.1, 1)",,
"('CIFAR10_5', 0.25, 1)",,
